Nombre de la Herramienta,País de Origen,Elaboración de la ficha detallada,Institución Responsable,Finalidad de la Herramienta,Momento de la Actividad Productiva,Taxonomia da ferramenta (principal),Canales de Acceso a la Información,Tipología de los Canales de Comunicación,Público Objetivo Principal,Alcance de Aplicación,Modelo de Acceso,Dimensión de Interacción,Naturaleza Institucional,Categoría de la Organización,Idioma de Disponibilización,Integración con WhatsApp,Conectividad Necesaria,Nivel de Digitalización,Nivel de Apertura de la Herramienta,Link,Descripción (resumen)
Información Agroclimática ,Argentina,No,INTA, Orientación Técnica,Dentro ,"Meteorología, Clima e Irrigación",Website,Medios de masa,Ambos,General,Gratuito,Extensionista ↔ Contenido/Plataforma,Pública,Ministerio / Gobierno Federal,Espanhol,No,Sí,Digitalización,Accesible a Terceros,https://www.argentina.gob.ar/informacion-agroclimatica,"Herramientas: AgroMet Semanal, AgroMet Mensual, AgroCultivos"
INTA GEO,Argentina,No,INTA, Orientación Técnica,Dentro ,"Meteorología, Clima e Irrigación",Website,Medios de masa,Ambos,General,Gratuito,Extensionista ↔ Contenido/Plataforma,Pública,Ministerio / Gobierno Federal,Espanhol,No,Sí,Digitalización,Accesible a Terceros,https://www.argentina.gob.ar/inta,Plataforma geoespacial para la gestión integral de información geográfica destinada al sector agropecuario - https://www.argentina.gob.ar/inta
Repositorio INTA digital; y Ediciones INTA ,Argentina,No,INTA,Aprendizaje,Dentro ,"Contenido, Educación y Red Social",Website,Medios de masa,Ambos,General,Gratuito,Extensionista ↔ Contenido/Plataforma,Pública,Ministerio / Gobierno Federal,Espanhol,No,Sí,Digitación,Accesible a Terceros,https://www.argentina.gob.ar/inta,"Acceso público y gratuito a libros, artículos de revistas, tesis, informes técnicos y ponencias, entre otros; Editorial especializada en publicaciones de investigación, desarrollo e innovación tecnológica aplicada al sector del agro "
AGRO24,Argentina,Sí,AGRO24, Gestión,Antes ,Economía Compartida,Website,Medios de masa,Productor,General,Pago,Productor ↔ Productor,Privada,Startup,Espanhol,,Sí,Digitalización,Accesible a Terceros,https://agro24.ar/,Plataforma que conecta a productores e insumeros para simplificar el proceso de compra y abastecimiento de insumos agrícolas.
Agrojusto,Argentina,Sí,Agrojusto,Comercialización,Después,Tienda en Línea (E-commerce) y Plataformas de Marketplace,Website + Aplicación,Medios de masa,Productor,General,Pago,Productor ↔ Contenido/Plataforma,Privada,Startup,Espanhol,No,Sí,Digitalización,Accesible a Terceros,https://agrojusto.com.ar/,"Conjunto de soluciones tecnológicas que permite la comercialización directa desde los pequeños productores hacia los compradores. Se encuentra integrado por una aplicación mobile para productores rurales y productores de agroalimentos, integrado con un sistema de mensajería interno y notificaciones y otros parametros especificos del sector de alimentos y un e-commerce"
Cosecheros,Argentina,No,Universidad Nacional de Córdoba, Orientación Técnica,Dentro ,"Meteorología, Clima e Irrigación",Aplicación ,No se aplica,Productor,General,Gratuito,Productor ↔ Contenido/Plataforma,Pública,Universidad,Espanhol,No,Sí,Digitalización,Accesible a Terceros,https://play.google.com/store/apps/details?id=ar.edu.unc.cosecheros,"""Cosecheros"" es una aplicación para teléfonos celulares, en sistema Android, que permite el monitoreo y la notificación y mapeo de impactos de eventos meteorológicos extremos sobre la actividad agropecuaria, así como eventos de deriva de agroquímico"
Fertilizante Campero,Argentina,No,Esteban Regueira, Orientación Técnica,Antes ,"Fertilizantes, inoculantes y nutrientes",Aplicación,Medios de masa,Extensionista,General,Gratuito,Extensionista ↔ Contenido/Plataforma,Pública,Ministerio / Gobierno Federal,Espanhol,No,No,Transformación Digital,Accesible a Terceros,https://play.google.com/store/apps/details?id=com.inta.camperofertilizadoras,"Esta aplicación está diseñada para ajustar los distribuidores de productos pulverizados, como fertilizantes y mejoradores de suelo. La herramienta permite calcular dosis, estimar el ancho de trabajo del equipo y evaluar la uniformidad de la distribución. También permite calcular la cantidad de producto necesaria para tratar una zona determinada y generar informes con los resultados, que se almacenan en el dispositivo."
Mapa de complejidades,Bolívia,Sí,Banco de Desarrollo Productivo (BDP), Orientación Técnica,Dentro ,"Contenido, Educación y Red Social",Paneles de Monitoreo (Dashboards),Medios de masa,Extensionista,General,Gratuito,Extensionista ↔ Contenido/Plataforma,Pública,Agencia de Desarrollo,Espanhol,No,Sí,Digitalización,Accesible a Terceros,https://complejidades.bdp.com.bo/,"Es una herramienta de diagnóstico que apoya la toma de decisiones para el desarrollo local, ofreciendo información territorial sobre actividad productiva, rendimiento y comercialización, e identificando sectores con potencial de crecimiento."
Biblioteca de Medios,Bolívia,Sí,INIAF,Aprendizaje,Dentro ,"Contenido, Educación y Red Social",Website,Medios de masa,Productor,General,Gratuito,Productor ↔ Contenido/Plataforma,Pública,Empresa Pública de Investigación,Espanhol,No,Sí,Digitalización,Accesible a Terceros,https://iniaf.gob.bo/biblioteca-de-medios/,"Repositorio digital que reúne publicaciones técnicas, manuales, informes y materiales de innovación agrícola para apoyar la producción, la investigación y la extensión rural en Bolivia"
Biblioteca Virtual,Bolívia,Sí,PROINPA,Aprendizaje,Dentro ,"Contenido, Educación y Red Social",Website,Medios de masa,Productor,General,Gratuito,Productor ↔ Contenido/Plataforma,Sociedad Civil Organizada,ONG / OSC,Espanhol,No,Sí,Digitalización,Accesible a Terceros,https://www.proinpa.org/web/biblioteca-virtual/,"Es un repositorio digital de conocimientos sobre agrobiodiversidad andina, que reúne materiales técnicos y educativos sobre bioinsumos, granos y cereales, hortalizas y leguminosas, papa, frutales, quinua, raíces y tubérculos andinos, además de recetarios y contenidos para una producción sostenible y la valorización de los saberes locales."
CABI Academy Online Courses,Bolívia,Sí,CABI,Aprendizaje,Dentro ,"Contenido, Educación y Red Social",Plataformas de E-learning,Medios de masa,Extensionista,General,Gratuito,Extensionista ↔ Contenido/Plataforma,Organismo Internacional,Organización Internacional,Multilingüe,No,Sí,Digitalización,Accesible a Terceros,https://academy.cabi.org/,"Cursos y recursos gratuitos en línea, que están disponibles para usuarios en Bolivia. Pueden accederse en línea o descargarse a través de la aplicación genérica Moodle Mobile, ofreciendo asesoramiento especializado tanto a extensionistas como a agricultores."
PlantwisePlus Factsheets,Bolívia,Sí,CABI, Orientación Técnica,Dentro ,"Contenido, Educación y Red Social",Aplicación ,Interpersonal,Extensionista,General,Gratuito,Extensionista ↔ Contenido/Plataforma,Organismo Internacional,Organización Internacional,Multilingüe,No,No,Digitalización,Accesible a Terceros,https://play.google.com/store/apps/details?id=org.cabi.pfff&utm_source=flyer_fs&utm_medium=link&utm_campaign=pwp_tools&utm_term=factsheets_awareness&utm_content=gen,"Aplicación móvil gratuita para Android e iOS que ofrece información específica por país para apoyar el diagnóstico y el manejo seguro de plagas y enfermedades de los cultivos. Puede utilizarse sin conexión, lo que resulta especialmente útil para el trabajo de campo en zonas remotas con conectividad limitada."
Fertilizer Optimizer,Bolívia,Sí,CABI, Orientación Técnica,Antes ,"Fertilizantes, inoculantes y nutrientes",Aplicación ,Interpersonal,Extensionista,General,Gratuito,Extensionista ↔ Contenido/Plataforma,Organismo Internacional,Organización Internacional,Multilingüe,No,No,Digitalización,Accesible a Terceros,https://play.google.com/store/apps/details?id=org.cabi.ofra,"Aplicación móvil que apoya a agricultores y extensionistas en la definición de recomendaciones optimizadas de fertilizantes, ajustadas al cultivo, al presupuesto disponible y a las condiciones locales, con el objetivo de maximizar el retorno económico y la eficiencia en el uso de insumos."
Crop Sprayer,Bolívia,Sí,CABI, Orientación Técnica,Antes ,"Manejo y Control de Plagas (Biológico, Natural y Químico)",Aplicación ,Interpersonal,Extensionista,General,Gratuito,Extensionista ↔ Contenido/Plataforma,Organismo Internacional,Organización Internacional,Multilingüe,No,No,Digitalización,Accesible a Terceros,https://play.google.com/store/apps/details?id=com.cabi.cabi_dosage_calc_android,"Aplicación móvil que ayuda a agricultores y técnicos a calcular correctamente la dosificación de pesticidas, convirtiendo recomendaciones técnicas en cantidades precisas según el producto, el cultivo, el área tratada y el equipo de aplicación, promoviendo un uso seguro y eficiente de los insumos."
Ater+ Digital,Brasil,Sí,Embrapa, Orientación Técnica,Dentro ,"Contenido, Educación y Red Social",Website,Medios de masa,Extensionista,General,Gratuito,Extensionista ↔ Contenido/Plataforma,Pública, Empresa Pública de Investigación,Portugués,Sí,Sí,Digitalización,Accesible a Terceros,https://www.atermaisdigital.cnptia.embrapa.br/,"Plataforma que ofrece una amplia gama de contenido y herramientas digitales para apoyar la labor de los extensionistas. Esto incluye un repositorio de videos, archivos de audio, aplicaciones, guías técnicas, infografías y cursos en línea, organizados en ejes temáticos "
E-Campo ,Brasil,Sí,Embrapa,Aprendizaje,Dentro ,"Contenido, Educación y Red Social",Plataformas de E-learning,Medios de masa,Productor,General,Gratuito,Productor ↔ Contenido/Plataforma,Pública, Empresa Pública de Investigación,Multilingüe,No,Sí,Digitalización,Accesible a Terceros,https://e-campo.sede.embrapa.br/,"Plataforma digital de capacitación en línea que ofrece contenidos técnicos, cursos y servicios para apoyar a productores, técnicos y extensionistas en la toma de decisiones y en la formación en agricultura y ganadería"
Impactools - Operação,Brasil,Sí,ManejeBem , Orientación Técnica,Dentro ,Consultoría & Asistencia Técnica,Aplicación,Interpersonal,Extensionista,"Específica (hortalizas, agroecología)",Pago ,Productor ↔ Extensionista,Privada,Startup,Portugués,Sí,No,Transformación Digital,Accesible a Terceros,https://manejebem.com/impactools-operacao/,"Es una solución digital orientada a la planificación, el registro, el M&E de acciones en campo, que permite: la gestión operativa de las actividades (visitas técnicas, cronogramas y responsables); la recolección estructurada de datos en terreno; el seguimiento de indicadores y resultados; la generación de informes que apoyan la rendición de cuentas, la evaluación de impacto y la gestión de proyectos; y el apoyo a equipos técnicos y programas de ATER, integrando información operativa y analítica."
AgroAssist,Brasil,Sí,ManejeBem, Gestión,Dentro ,Monitoreo y Gestión Integrada de la Producción,Aplicación,No se aplica,Extensionista,General,Pago ,Extensionista ↔ Contenido/Plataforma,Privada,Startup,Portugués,Sí,No,Transformación Digital,Accesible a Terceros,https://manejebem.com/impactools-agroassist/,"Solución integrada a WhatsApp que utiliza inteligencia artificial para transformar audios, fotos, textos y documentos enviados por el técnico en registros e informes estructurados, facilitando el seguimiento técnico, la gestión de las actividades en campo y la evaluación de resultados"
Meu Imóvel Rural,Brasil,Sí,Governo Federal do Brasil, Gestión,Antes ,"Gestión Documental, Certificaciones, Registros y Regularización ",Website + Aplicación,Interpersonal,Productor,General,Gratuito,Productor ↔ Contenido/Plataforma,Pública,Ministerio / Gobierno Federal,Portugués,No,Sí,Digitación,Accesible a Terceros,https://www.gov.br/gestao/pt-br/assuntos/meu-imovel-rural,"Aplicación que reúne, en un único entorno digital, los principales documentos e informaciones de propiedades y posesiones en Brasil."
Serviços e Informações do Brasil - Gov.br,Brasil,Sí,Governo Federal do Brasil, Gestión,Antes ,Servicios de crédito y finanzas ,Website + Aplicación,Interpersonal,Productor,General,Gratuito,Productor ↔ Contenido/Plataforma,Pública,Ministerio / Gobierno Federal,Portugués,No,Sí,Digitación,Accesible a Terceros,https://www.gov.br/pt-br/perfil_usuario/agricultor,"Plataforma digital que centraliza, en un único espacio, servicios e informaciones dirigidas a agricultores, como registro de inmuebles rurales, acceso a créditos y beneficios, capacitación, innovación tecnológica y derechos del productor rural."
Agrotrace (extensionista) ,Brasil,Sí,IBS, Gestión,Dentro ,Consultoría & Asistencia Técnica,Aplicación,Interpersonal,Extensionista,General,Pago ,Productor ↔ Extensionista,Privada,Startup,Portugués,No,Sí,Digitalización,Accesible a Terceros,https://www.agrotrace.com.br/,"Ofrece herramientas para el seguimiento de las explotaciones atendidas, el registro de visitas y orientaciones técnicas, el monitoreo de indicadores productivos y socioambientales, la generación de informes y el apoyo a la gestión y evaluación de programas de ATER"
Agrotrace (produtor) ,Brasil,Sí,IBS, Gestión,Dentro ,Monitoreo y Gestión Integrada de la Producción,Aplicación,Interpersonal,Productor,General,Pago ,Productor ↔ Contenido/Plataforma,Privada,Startup,Portugués,No,Sí,Digitalización,Accesible a Terceros,https://www.agrotrace.com.br/,"Permite registrar información de la producción, insumos y manejos, organizar datos de la explotación, cumplir con requisitos de trazabilidad y certificaciones, demostrar el origen y la calidad de los productos y facilitar el acceso a mercados que exigen transparencia y cumplimiento socioambiental."
Check Milk,Brasil,No,IBS, Orientación Técnica,Dentro ,Monitoreo y Gestión Integrada de la Producción,Website + Aplicación,Interpersonal,Extensionista,Específica (leche),Pago,Productor ↔ Contenido/Plataforma,Privada,Startup,Portugués,No,Sí,Digitalización,Accesible a Terceros,https://www.checkmilk.com.br/,"Plataforma digital orientada a la gestión de la calidad de la leche, que permite monitorear indicadores productivos y sanitarios, registrar análisis de laboratorio, acompañar el cumplimiento de estándares de calidad, apoyar la toma de decisiones en la explotación y fortalecer la trazabilidad."
Agritempo,Brasil,Sí,Embrapa, Orientación Técnica,Dentro ,"Meteorología, clima e irrigación",Website + Aplicación,Medios de masa,Productor,General,Gratuito,Productor ↔ Contenido/Plataforma,Pública, Empresa Pública de Investigación,Portugués,No,Sí,Digitalización,Accesible a Terceros,https://www.agritempo.gov.br/br/,"Sistema de Monitoreo Agrometeorológico que permite a los usuarios acceder, vía Internet, a información meteorológica y agrometeorológica de diversos municipios y estados brasileños. El sistema recibe datos diarios de más de 1.600 estaciones meteorológicas de distintas instituciones, proporcionando información que permite reducir costos y aumentar la productividad."
Zarc - Plantio Certo,Brasil,Sí,Embrapa, Orientación Técnica,Dentro ,"Meteorología, clima e irrigación",Aplicación,Medios de masa,Productor,General,Gratuito,Productor ↔ Contenido/Plataforma,Pública, Empresa Pública de Investigación,Portugués,No,Sí,Digitalización,Accesible a Terceros,https://www.plantiocerto.cnptia.embrapa.br/,"Muestra las mejores fechas de siembra para diversos cultivos en Brasil. Recupera datos de la Zonificación Agrícola de Riesgo Climático (ZARC), lo que permite que, en cada municipio, el productor identifique la mejor época de siembra según los diferentes tipos de suelo y ciclos productivos."
Conecta produtor SENAR,Brasil,No,SENAR, Orientación Técnica,Dentro ,Consultoría & Asistencia Técnica,Website + Aplicación,Medios de masa,Productor,General,Gratuito,Productor ↔ Contenido/Plataforma,Pública,Otro,Portugués,Sí,Sí,Digitalización,Accesible a Terceros,https://apps.apple.com/br/app/conecta-produtor-senar/id6502522051,"Aplicación de gestión y seguimiento de la asistencia técnica que permite al productor rural organizar información productiva y financiera, registrar datos y monitorear visitas técnicas en un único entorno digital."
SENAR Play,Brasil,Sí,SENAR,Aprendizaje,Dentro ,"Contenido, Educación y Red Social",Aplicación,Medios de masa,Productor,General,Gratuito,Extensionista ↔ Contenido/Plataforma,Pública,Otro,Portugués,No,Sí,Digitalización,Accesible a Terceros,https://ead.senar.org.br/aplicativo-senar,"Una plataforma digital que ofrece videos, cursos y contenidos educativos en línea orientados a la capacitación de productores rurales, trabajadores agrícolas y técnicos agrícolas."
Sistema COMPINST,Brasil,No,Emater,Comercialización,Después,Ventas al gobierno,Website,No se aplica,Productor,General,No se aplica,Extensionista ↔ Contenido/Plataforma,Pública,Empresa de ATER / Servicio Público de Extensión,Portugués,Sí,Sí,Digitalización,Uso Interno (Institucional),https://new.emater.df.gov.br/,"El sistema COMPINST permite que todo el proceso de compras públicas del Programa de Adquisición de Alimentos (PAA) — desde la confirmación de la oferta hasta la articulación logística y el registro de las operaciones — se realice de forma totalmente digital, agilizando y organizando la gestión entre extensionistas y agricultores."
Monitor das secas ,Brasil,No,ANA, Orientación Técnica,Dentro ,"Meteorología, clima e irrigación",Website + Aplicación,Medios de masa,Productor,General,Gratuito,Productor ↔ Contenido/Plataforma,Pública,Ministerio / Gobierno Federal,Portugués,No,Sí,Digitalización,Accesible a Terceros,https://monitordesecas.ana.gov.br/mapa?mes=10&ano=2025,"Herramienta de monitoreo climático que proporciona información en tiempo real sobre condiciones de sequía y estrés hídrico. Ofrece alertas tempranas para productores y extensionistas, permitiendo una gestión proactiva de riesgos y la planificación de acciones de mitigación integradas a la ATER."
Rede Aurora,Brasil,No,USP,Aprendizaje,Dentro ,"Contenido, Educación y Red Social",Website,Medios de masa,Extensionista,General,Gratuito,Extensionista ↔ Contenido/Plataforma,Pública,Universidad,Portugués,No,Sí,Digitalización,Accesible a Terceros,https://www.youtube.com/@redeauroraater,Red y canal de YouTube que reúne contenidos y casos prácticos sobre ATER en entornos digitales de comunicación.
Zap Rural,Brasil,No,EPAGRI,Aprendizaje,Dentro ,"Contenido, Educación y Red Social",Grupos de Mensajería,Medios de masa,Productor,General,Gratuito,Productor ↔ Contenido/Plataforma,Pública,Empresa de ATER / Servicio Público de Extensión,Portugués,Sí,Sí,Digitalización,Accesible a Terceros,https://whatsapp.com/channel/0029Va6gqE27NoZtKtkHsu0K,"Una iniciativa de extensión digital que utiliza WhatsApp para ofrecer contenidos y orientaciones prácticas directamente a los agricultores familiares. La acción consiste en el envío semanal de videos cortos y mensajes sobre temas como manejo sostenible, producción de alimentos, organización productiva y seguridad alimentaria."
Hortify,Brasil,No,Hortify, Gestión,Dentro ,Monitoreo y Gestión Integrada de la Producción,Aplicación,Interpersonal,Productor,Específica  (hortalizas),Pago ,Productor ↔ Contenido/Plataforma,Privada,Startup,Portugués,No,Sí,Digitalización,Accesible a Terceros,https://hortify.app/ ,"Plataforma que reúne datos de producción, mano de obra, inventarios y finanzas, integrada con algoritmos que apoyan la toma de decisiones. Además, la plataforma cumple con los requisitos del gobierno brasileño, incorporando un proceso de trazabilidad."
Prosa Rural,Brasil,No,Embrapa, Orientación Técnica,Dentro ,"Contenido, Educación y Red Social",Website + Aplicación,Medios de masa,Productor,General,Gratuito,Productor ↔ Contenido/Plataforma,Pública, Empresa Pública de Investigación,Portugués,No,No,Digitalización,Accesible a Terceros,https://play.google.com/store/apps/details?id=com.prosa.rural,"Ofrece acceso a archivos de audio de los programas de radio producidos por Embrapa , así como a la radio en línea de Prosa Rural. Los archivos de audio y los programas de la radio en línea están clasificados por regiones."
Controle de Pragas,Brasil,Sí,Embrapa, Orientación Técnica,Antes ,"Manejo y Control de Plagas (Biológico, Natural y Químico)",Website + Aplicación,No se aplica,Extensionista,General,Gratuito,Extensionista ↔ Contenido/Plataforma,Pública, Empresa Pública de Investigación,Portugués,No,Sí,Digitalización,Accesible a Terceros,https://www.atermaisdigital.cnptia.embrapa.br/web/controle-de-pragas/pragas,"Reúne información técnica sobre plagas agrícolas, incluyendo identificación, características, cultivos afectados y orientaciones de manejo y control. La herramienta apoya a productores y técnicos de extensión rural en el diagnóstico de plagas y en la toma de decisiones."
Bioinsumos,Brasil,Sí,Embrapa, Orientación Técnica,Antes ,"Manejo y Control de Plagas (Biológico, Natural y Químico)",Website + Aplicación,No se aplica,Extensionista,General,Gratuito,Extensionista ↔ Contenido/Plataforma,Pública, Empresa Pública de Investigación,Portugués,No,Sí,Digitalización,Accesible a Terceros,https://www.embrapa.br/busca-de-solucoes-tecnologicas/-/produto-servico/7227/aplicativo-bioinsumos,"La aplicación es resultado del Programa de Bioinsumos del Ministerio de Agricultura, Ganadería y Abastecimiento (MAPA) y busca consolidar un Catálogo Nacional de Bioinsumos para facilitar y promover el acceso a información sobre los productos disponibles para su uso y dónde encontrarlos."
Rótulos digitais,Brasil,No,Central 12,Comercialización,Después,"Seguridad Alimentaria, Trazabilidad y Storytelling del Producto",Website,No se aplica,Productor,General,Pago,Productor ↔ Contenido/Plataforma,Privada,Startup,Portugués,No,Sí,Digitalización,Accesible a Terceros,https://central12.com.br/,"Etiqueta digital accesible mediante código QR que centraliza y pone a disposición información detallada sobre el producto —como origen, trazabilidad, procesos productivos, certificaciones y aspectos de sostenibilidad— fortaleciendo la transparencia y la comunicación directa entre marcas agrícolas y consumidores."
INCRALEGIS,Brasil,No,CEGAFI- UnB,Aprendizaje,Dentro ,"Contenido, Educación y Red Social",Aplicación,Interpersonal,Extensionista,General,Gratuito,Extensionista ↔ Contenido/Plataforma,Pública,Universidad,Portugués,Sí,Sí,Digitación,Accesible a Terceros,https://www.cegafiunb.com/aplicativos/,"Facilita el acceso a la legislación agraria brasileña. Abarca temas como la expropiación para la reforma agraria, el licenciamiento ambiental, el georreferenciamiento, la regularización de la tenencia de la tierra, la restitución de la posesión de tierras públicas, la adjudicación de inmuebles, la titulación y los territorios quilombolas"
Põe na Cesta,Brasil,No,Emater-DF,Comercialización,Después,Tienda en Línea (E-commerce) y Plataformas de Marketplace,Website,Medios de masa,Productor,General,Gratuito,Productor ↔ Contenido/Plataforma,Pública,Empresa de ATER / Servicio Público de Extensión,Portugués,No,Sí,Digitalización,Accesible a Terceros,https://dfrural.emater.df.gov.br/poenacesta/,"Herramienta digital de la Emater-DF que conecta a productores rurales y consumidores, facilitando la difusión y comercialización de alimentos locales. A través de la plataforma, es posible localizar productores, conocer los tipos de productos ofrecidos, el origen de la producción y los datos de contacto, fortaleciendo la economía local y promoviendo el consumo de alimentos frescos y de calidad, sin cobro de tasas ni intermediación financiera."
ADAMA Target (Alvo),Brasil,No,ADAMA, Orientación Técnica,Dentro ,"Manejo y Control de Plagas (Biológico, Natural y Químico)",Aplicación,Medios de masa,Productor,"Específica (soja, milho, algodão, trigo, cana e café)",Gratuito,Productor ↔ Contenido/Plataforma,Privada,Startup,Portugués,No,No,Digitación,Accesible a Terceros,https://www.adama.com/brasil/pt/adama-alvo,"ADAMA Target es una aplicación que ayuda a identificar las principales plagas, malezas y enfermedades que afectan a cultivos brasileños como la soja, el maíz, el trigo, el algodón, la caña de azúcar y el café, mediante una completa base de datos de imágenes. Encuentre información sobre el ciclo de vida, el tratamiento adecuado, la importancia económica y la descripción de cada problema en los cultivos brasileños. Si no encuentra el objetivo, tome una foto, envíela y reciba ayuda."
